,Title,Review
0,"Fine book, Worth the money!",Helpful for the beginners who are starting data visualization or R-Course But not so much for advanced studies or projects. Good Cover and Fine Printing with smooth pages.Overall Worth the money but only for beginners.
1,Black and white only,Book cover and paper quality is okay. Package is good. Buy only if u have R basic knowledge.
2,If R is Ferrari of Data science world then this book is Nut and Bolt manual to cary out routine but critical operations on data,"Firstly understand that this book does not cover most of models, algorithms etc. It actually covers all the steps that you need to perform on ""real life"" data to get it ready to run your models. It does not teach about K-means, regression, bagging and boosting etc. For that you can use James,Witten,Hastie,Tibshirani's excellent ""Introduction to Statistical Learning"" book. But this Wikham book fills a critical void.In my personal experience it takes more than 90% time to get the data in a shape where you think it is now ready for you to run your algorithms. This is far cry from the sterile,cleaned up  data sets used in the data science courses. The real life data is very messy. This book is clearly written for the practitioners who deal with real life situations. This book helped me a lot to get my data in proper form. which includes joining two disparate data-sets based on keys,  creating new derivative columns based on existing columns, remove unwanted feature set, take care of all those NAs, filter the rows on criteria, perform different aggregate functions (mean, sum, median etc) date wise or factor wise. It also covers bit of ggplot basics so you can start plotting the data from the word go. This book uses the tidyverse family packages (especially dplyr) written by the same author. ggplot is also written by Wikham. Both packages contain functions that can improve your productivity 10x. Both have now become  de facto packages used by most R data scientists.This book immensely helped me perform data analysis on my messy data. It taught me what and how to perform necessary operations on my data using very useful functions in dplyr package which is part of tidyverse family.R is very powerful environment for data analysis. I would call it Ferrari of data science world. But although very powerful, it has its own quirks and learning curve, even for experienced programmers. The packages like dplyr, caret, ggplot make your life easier and allow you to fully harness the horse power of R."
3,Highly recommended,"The author has taken a good approach.  Instead of giving you the introduction or much theory, author teaches each concept with examples.  You start with coding immediately which actually better.  Exercise is also very good.Those who have just started R just like me, I highly recommend it.  You will be fully engaged with coding and not get bored."
4,Suitable for Data analyst,Go for it. learn it
5,Your gateway to data science,"It is hard to pick a good introductory data science book these days since there are too many out there. But R for Data Science is arguably one of the best books you can pick and start your data science journey. If you go through this whole book, not only you will learn fundamentals of data science but also advanced data management tools that will allow you to analyze a variety of data. Some introduction to R language is required which can be picked up from first few chapters of Art of R Programming by Norman Matloff."
6,"Amazing book, but horrible condition","Wonderful book for beginners. R programming is entirely new for me , this book full fills my needs, very good , easy to understand with examples and exercises  for practice perfect The condition of the book looks kind of old , the front cover is not good."
7,R basics for data analysis,Good for the price.
8,A must have for anyone who loves R,It is really helpful to have it by your side no matter how proficient in R you are.
9,Good book to have for learning R,Really good book to learn the ropes in R... must haves for anyone just starting off with R... It's structured and has good amount of practice questions
10,Great book. A must buy,This book is extremely handy book for those who already have basic understanding of R. A great collection of thoery and code to use packages to boost the features of R
11,Bad paper quality,Content of the book is great while the paper quality feels like it has been photostated and bound. Doesn't do justice for the price tag
12,Must have for a R beiginner,Very useful if you are starting data science journey using R.
13,Four Stars,Excellent book for beginners. Hadley Wickham's tidyverse is simple and intuitive.
14,Only for beginners.,Buy this only if you are getting started with Programming in R & are not taking any other classes for it. I have intermediate proficiency in R & I did not find this book that useful.
15,Good book for beginners,Good book for beginners
16,Four Stars,Very nice
17,Five Stars,Excellent book
18,Old product,
19,Pirated copy!,"Got a pirated copy, book is awesome but was not expecting a pirated copy. Not sure if price is worth pirated book."
20,Quality - Locally printed,Quality of the physical book was not good.
21,Not for beginners,"Not for beginners... Also price is just too high. Content in book doesn't justify the price. R is not a rocket science, you can easily get a great material on the internet without spending any money."
22,"The book is good, however the drawback is","prompt delivery from amazon..The book is good, however the drawback is, all the graphs/charts are in black and white. so when the authors refers a particular color line in a graph/chart, we can not distinguish between the lines/objects given in the graph/chart.."
23,Good overview of R,Well written book with good examples and code which covers both the why and how of R and many useful  R packages.
24,Buen libro para explicar conceptos de datos en R,"Buenas explicaciones de los conceptos de ciencia de datos cuando se usa R, útil como ayuda para el aprendizaje y referencia futura"
25,Good introduction to R,Although my apprenticeship has free on-line books I like a physical book so you can flip back and fore. It is important you practice with R Studio but this book is well written and a pleasant read. Please note there is a new edition August 2023 so it might be worth waiting.
26,Great Book for R newbie’s,Used it for my coding project in R and am quite happy with the content and teaching methods!
27,“R for Data Science”  is an exceptional book for Data Scientists.,"The authors, Hadley Wickham and Garrett Grolemund, are probably among the greatest authorities in their field. An important part of the book is devoted to the Tidyverse collection of packages for R. Once one has mastered the basics of the R language this book greatly enhances the capability of what one can do in this language, coupled to the Tidyverse language. In my opinion this book is the logical continuation of one’s learning experience once one has learned R. O’Reilly, the publisher of this book has lavished beautiful illustrations that facilitates greatly the comprehension of the clearly written text. A veritable pleasure to see such typographical masterpiece."
28,R for Data Science,The book is Ok!Thanks!
29,"If you want to learn R, buy this book!",This is tied as my favorite tech/programming book to date. The organization is well thought out. The support materials are exactly where they should be. The author and publisher are easy to contact if necessary. The material is also very engaging unlike many beginner books.This book will give you all the skills necessary to start doing real work and to move on to more specialized skills.
30,R vitaminado,"No cabe duda de que Hadley Wickham es el rey del rock en lo que a R y RStudio se refiere, de modo que estamos de suerte al poder estudiar un libro coescrito por él y Garrett Grolemund en que se nos pone al corriente sobre una nueva forma de escribir código en R basada en la suite tidyverse, un súper-paquete formado por otros paquetes, de entre los cuales destaca, como la joya de la corona, ggplot2 para dibujar gráficos de alta calidad.Además, nuestra suerte se multiplica al saber que Wickham y Grolemund han tenido el detallazo de permitir el acceso gratuito en la Web a su libro (en PDF) y al código que lo acompaña. De modo que el que quiera puede leer el Nuevo Testamento del programa R sin gastarse un duro. El Antiguo Testamento, la forma tradicional de programar en R, sigue vigente, desde luego, para quien así lo desee, pero no está de más conocer la buena nueva que nos traen Wickham y Grolemund porque indiscutiblemente mejora algunos aspectos del software R.Debe quedar claro que éste no es un libro para aprender estadística con R (sólo en el apartado 4, dedicado a la modelización, hay un tenue contacto con la estadística, pero sólo se araña la superficie del asunto), sino más bien un libro para familiarizarse con el manejo de R de una forma mejorada.La obra de Wickham y Grolemund tiene por objeto enseñarnos a importar datos, ordenarlos, entenderlos (mediante modelización, transformación y visualización) y comunicar los resultados. Pero los autores no tienen un pelo de tontos y comienzan y acaban el texto con las partes más entretenidas de este proceso: la visualización (con ggplot2) y la comunicación (mediante R Markdown). Dejando las regiones más áridas entremedias. Confieso, a este respecto, que me ha resultado especialmente aburrido el tratamiento de las fechas con el paquete lubridate, escrito por Grolemund.En fin, un libro de lectura indispensable para quien quiera manejar R con solidez pero no igual de ameno en todo su recorrido."
31,learning R,"As a beginner to R, I bought this book at the recommendation from Data Science for Fundraising: Build Data-Driven Solutions Using R and am so glad that I did. R4DS provides useful content to get started with R. The book consists of 5 main sections:1. Getting started (Explore)2. Data manipulation (Wrangle)3. Scripting (Program)4. Build models5. Presenting information (Communicate)Here’s a brief overview of each section:ExploreI was a bit puzzled as the book jumps directly into plotting using the ggplot library. Although the authors are clear that the purpose of introducing ggplot is to keep our motivation high, seeing the ggplot syntax without a whole lot of background can be confusing at first. But then the authors do a great job at explaining the various aspects of ggplot. So my advice to other R beginners is to just keep going forward!After the intro to ggplot, you learn about the basics of R, such as variables and functions, as well as intermediate topics such as writing scripts, manipulating data using dplyr, and lastly EDA. This section ends with a good overview of how to use RStudio to saves script files.WrangleThis section starts with an intro to tibbles, which is a new concept for handling data in R. This section is important since most of the functions in later chapters use tibbles, such as reading data from various sources. There are many important concepts that seem useful such as “tidying up” your data and cleaning data points (string and dates).ProgramThis is a function section that introduces data pipes. This section explores how to chain complicated data operations together. You also get to see some good practice in writing human readable code. Then the book jumps into using the power of R as a functional programming language. Once I feel more proficient, I will take a deeper look at purr.ModelNow, depending on your situation, you may not be interested in this section, which is focuses on predictive modeling. There are quite a few recipes that explore “why” questions. Definitely planning to come back to this chapter later.CommunicateThis section is useful because it introduces how to create reusablereports.Overall, this is my go-to book along with the book I previously mentioned. This book is a solid reference book for learning R. Another good thing is that the companion website is regularly updated and you can copy and paste the code examples directly into RStudio. I’m looking forward to further exploring R and learning how to create my own data visualizations."
32,"Great book for R, RStudio, and learning about data","Thank you Hadley Wickham and the RStudio team for making data analysis so much easier!As a graduate student this book provided me with a foundation for using R and Rstudio using the tidyverse package. It makes you a generalist in R where you can do most things afterwards. It could take a few months with meaningful projects on hand to get the hang of most things. The writers are good teachers as they take you through the nicely structured concepts without confusing or overwhelming you. If you know a little you can enter different chapters without necessarily knowing the previous ones. The book exposes you to a lot of snippets of good workflows and you learn how to do things the right way. You also see what is possible generally and this seeds new ideas in one's head. Most of the best practices you learn can be taken to other languages and workflows as well. Learning R and data analysis this way will not only let you be a good data analyst but but it also prepares you to navigate any programming language with the foundation and framework for understanding data you get here. You can always combine R with another language where you think R, and the tidyverse package in particular, will get the job done better.This book is available online for free but I bought the physical copy as I wanted to read it seriously from cover to cover. In 6 months I have read about 1/2 to all the content in each chapter of the book and used its code in my own workflow. I started using R sporadically for the first time two years prior and Rstudio two months prior to purchasing this book.In the end the book has become my go to for learning and coding, as a learning tool and a handy reference. I use it with the Oxford Handbook of Medical Statistics by Peacock, Janet L. for statistical methods and the STDHA website for other sample workflows and codes."
33,An excellent introduction to using R for Exploratory Analysis.,"Wickham and Grolemund have produced an excellent book that would help a beginning R user become very efficient in explanatory analysis. Unsurprisingly the approach that they expound utilises the ""hadleyverse"" a collection of packages (ggplot2 for visualisation, tidyr for reshaping, dplyr for selecting and filtering, purrr for functional programming, broom for linear models etc) that dramatically speed up most of the common steps involved in an analysis. One benefit of Wickham's involvement in these packages has been a coherent philosophy that sits behind them. It can be a little tricky when learning this philosophy, but the long term benefits are enormous.The book is broken up into a number of sections that effectively builds up the ability to ingest, transform, visualise and model datasets. A good portion of the book is available in an online version, to give you a taste of how it is written. Many have been following it as it was written. I have passed on copies of the book to a number of colleagues who were just starting out and the response has been uniformly positive. In my own case I was familiar with some of the these packages; ggplot2, dplyr, tidyr, but found the book taught me purrr and how to better use the packages together.Probably my two biggest caveats to readers are that there are situations where packages from outside the ""hadleyverse"" maybe required. The authors do a great job of pointing this out, but it does pay in my experience to know data.table and lattice for example. Both because they can occasionally fit a problem better but also because you inevitably come across other people's code where these packages are used. The other caveat is that the modelling is a little rudimentary. Most of the examples are just fitting independent regression models, whereas it seems to me that a hierarchical model would be a better fit. Still these are small things and it would be silly to expect a single book to cover all of these areas.In short this is the book I would give to someone who was keen to learn about how to use R for data science. It reads really well building up the different components whilst still being a valuable reference if you just need a reminder of a particular package (what is the difference between tibbles and data frames again?). Even though a good portion of the book is available online, it is well worth it to have the full thing on your bookshelf (digital or otherwise). On a broader note with Max Kuhn (author of the excellent ""Applied Predictive Modelling"" with Kjell Johnson) joining Wickham and Grolemund at RStudio, it is a great time to start your R journey."
34,Elaborazione dei dati e modelling,"Un libro di estremo valore per il suo contenuto. Didattico, sintetico, efficace. Un piccolo capolavoro, come del resto Tidyverse."
35,"Good content, but print quality is so-so","To anyone who may be unaware, all of the contents of the book are available for free online and are updated regularly. I purchased this book in October 2019 and it was already out of date compared the the version online. However, not enough out of date to deter me from using it.I prefer to read books in print versus online, which is the main reason I purchased this book. It also allows me to study while on a plane, which is very convenient. The book is great, easy to understand, and provides a lot of questions and examples to work through in each chapter.I’m halfway through the book now, and one complaint that I have is that the quality of the print leaves a bit to be desired. If you look at my photos, you’ll see that I drew boxes around certain words/letters. I had to do this because the printed lines were SO faint that I completely missed it the first time I read it. This made the chapter more confusing than it should have been. I had to reread it a few times before I made out the super faint boxes. I compared it to the online version, which had the lines/boxes clearly drawn. I also wish the solutions to the practice questions and exercises were printed in the book so that I could check my answers. However, the answers are available online...it just adds a bit of unnecessary hassle. Those are really my only complaints so far.Overall, good book for beginner R and data science learners."
36,Great book - Very useful!,"I am very happy with this book.  Its easy to read and the exercises/code work and are applicable.  The text is clearly written and the supporting graphics are well constructed.  I have started working through some of the exercises in R and find them very helpful.  I bought this book after completing a graduate course in data analysis using R.  Much of the course was constructed around Hadley Wickham's work.  We used ggplot2 and tidyverse extensively.  We did not use this book in the course and I now wish we had used it as a desk reference.  This book is answering many of the questions I had.  It is also providing an overview of many basic concepts and tools in R and would have been helpful to have at my fingertips during my graduate course.  Google is a great resource, but a well written and easily sourced desktop resource like this is indispensable.  I am learning something new about R constantly...I would consider myself a late beginner to early intermediate user of R for data science/data analysis.  I often find books that cover the basics extremely useful, because its easy to forget.  So for me, this was a good buy - regardless of my skill level.  Others will have to make their own decision.  This book does not cover mapping in R.  In fact, there is a sentence in Chapter 1 that states - this book does not cover mapping.  I would like to have had more on that topic or a follow-up book committed to mapping and integration with other tools like Leaflet or ArcGIS."
37,Some good material mixed with some rushed explanations and a lack of sufficient examples,"I'll preface this review by saying that while I think this book has some significant problems, R seems to be much harder to find good tutorials for than any other programming language or computer topic I've ever learned (I've been a programmer for 15+ years).  I tried a Udacity course on R which ended up being so shallow that I feel like I learned more about R from 20 pages of this book than from hours of Udacity videos.  While I am becoming proficient in R from this book, I think that this book has some problems that have made it slower and more difficult for me to learn R.With the exception of the final few chapters, R for Data Science is informative and easy to understand during its explanation of R concepts and commands.  The biggest problem that I have with this book is with the exercises in each chapter.  Essentially, each chapter shows you to use a hammer, how to use a screwdriver, and how to use a saw, and then says build a birdhouse.  Building a birdhouse is more complex than using a hammer or a saw in isolation, and you may also need additional tools (such as a tape measure), which were never described in the chapter.  It would be much easier to figure out how to build a complete birdhouse if the book first showed how to build smaller scale projects, such as a small wooden box, rather than only showing how to use each tool mostly in isolation.  In that way, you'd get some examples of using tools together to construct something more complicated.Each topic has a few simple exercises, and also two or three exercises which are considerably more complicated than anything which was demonstrated earlier.  While I can figure out the solution eventually, I bought this book so that I can learn R as painlessly as possible.  It's frustrating to spend so much time trying to figure out a problem which I could have figured out much faster had I been give some better examples prior to the exercises.  Furthermore, no answers are given in the back of the book and there are sometimes exercises where a necessary command hasn't been shown in the book (I found a page online where another person had solved the exercises).In addition to the above problems, the last few chapters about formulas and modelling seem rushed and some concepts are poorly explained or barely explained at all (even though those concepts are used in the examples).This book will teach you enough about R to be manipulate and graph datasets and write some simple functions, although it may not give you enough information by itself to solve more complicated problems.  Once you start getting beyond dataset manipulation, modelling, and writing simple functions, you'll probably need another book to sufficiently understand those more advanced concepts."
38,Stopped Reading the Book Halfway into 1st Chapter,"I got through the Preface and about 60% of the first chapter and had to stopped.Before I get into the review to explain why I had to stop reading the book, it is important to note that this book is available online for free. I prefer print over screen, when possible. But if you don’t have a preference, just use that.Why did I put this book down midway through Chapter 1?Cascade of events that started w/ me requiring solutions to practice problems that are in the book.The only way to learn math and software development is by doing. Books on these subjects should ALWAYS contain exercise problems and solutions to those problems, either at the end of the chapter or by way of an appendix at the end of the book.The best solutions that I found are at jrnold's github page. I quickly noticed, however, that the answers posted on that site didn't quite fit the exercises in the book. When comparing the online version to the printed version (book), I noticed that exercises from the book had been reworded or completely dropped. So from the beginning of this year, when this book was published and released for sale, to this summer, it is apparent that many errors had been found and revisions needed to be implemented.There were so many differences between the online version and the book that I decided to stop reading the book in lieu of the online version.My 5-star Rating:The author does an excellent job explaining topics. He is very knowledgeable and it shows. With the amount of revisions in such a short time, however, I can't help but think that this book was rushed.But if I am stopped reading the book b/c of errors, why 5 stars? The book, by itself, might have gotten a 1-star review from me, but I am still going to learn from this author. The online version costs him/someone to keep up-to-date. Purchasing the book is an easy (and very fair) way to support this project."
39,"Muy buen libro, lo recomiendo.","Muy buen libro, lo recomiendo."
40,Best book for learning the R language,"Great book! I tried some other (cheaper) books while attempting to learn the R language. They were hard to focus on and follow. This book is the opposite. It progresses in a manner that makes sense, and doesn't force you to drudge your way through the boring stuff before learning anything useful. Plenty of practice and examples to help solidify what it teaches you."
41,This might be the best (NON-Fluff) Data Analysis book out there,"I think this book is a perfect blend of technical training, visual reporting, sample datasets and clear communication.  The authors teach concepts in small chunks of code, and the code is pretty easy to interpretI will also be honest, it took me a few months of playing with “R” to get to a point where the syntax made sense(im still learning).  Im at the point, where i can read each chapter and im NOT getting confused at any of the topics(through chapters 1-5 so far).Im really starting to feel confident enough to take the breakthroughs to develop solutions that will be able to use at work very soon(maybe in a month or so)I had invested several years into Python and its great but my company locks python down but leaves R completely open (probably concerning the kernal access).  So i had to switch to R from scratch.  The transition was intimidating at first, but i plugged away and got the basics on my own.  Now im somewhat confident about subsetting, db connections, dataframes, ggplot and dplyr.  Im looking forward to defining functions and proc+packages in the near future.I really have to commend Hadley and the Grolemund for putting together a VERY DIGESTIBLE book.  The book is long, but it is easy to follow.I bought the physical copy and im so happy, i bought the digital copy(hard to find)Thanks,Chris Buck"
42,"Great, easy-to-follow book for mastering how to work in R","If you are going to be using R extensively, you'll want to dive into this book and get yourself set up to work efficiently and quickly in R.  It covers all the things you need to know about working in R and RStudio EXCEPT for the stats and analysis part.  You learn about getting data in, cleaning the data up (because who is ever given a clean dataset to start with?), exploring and organizing your data, a quick primer on ggplot2 (you'll want the "
43,One of the best books to learn R,"This is one of the greatest books if you want to learn using r and rStudio. You learn by doing, learn by writing code. And then there are some exercises that you have to do yourself and they aren't easy. You have to think about everything you have learned so far to find your answer, but the satisfaction you get from doing it is just great. Oh and eclectic version of this book is free on the website and it is updated quite regularly. I have bought the book to support the author. Trust me you will learn from this book, all you have is to do all the exercises that you find in it."
44,"Good, but available free online.","So far this books is a clear explanation of the T language. What spoilt it ofr me is finding out that the entire thing is available online for free. Wish I'd known that before! Obviously, offline reading is great, but as these kind of books work best when you are doing the exercises whilst reading, the online method would suit most people better."
45,"Great book, but beginners beware","It's a great book to learn at your own pace the basics of data science and data manipulation with R, and I would recommend to anyone to buy it. The authors are precise and clear in the explanations.Just one comment: if you are a beginner with the language, you will have a harsh time going through the book. In the first 2 sections, where the authors explain ggplot and dplyr, if you don't know the grammar of the code you will certainly get frustrated because there is no explanation of the basics. They just start with the ggplot code and take off. The same occurs with the  dplyr chapter. They teach you how to use the functions filter(), arrang() and so on, but don't show you the basics of R.My advice is to read other sources to get a basic understanding of R and its grammar, and then get this book.Also I would like to point out that the printed version has some serious typos, missing graphs, incomplete diagrams and some datasets are not fully printed on the page, so sometimes the authors try to show you something on a new variable added to the original dataset, but it doesn't appear on the page,,,,"
46,Learn R the Right Way,"As a college student trying to learn R without any programming background, I often found the materials suggested by professors to be confusing and boring. I tried online courses, textbooks, and video tutorials, but still struggled to grasp important concepts. Finally, at the recommendation of a potential employer I gave Wickham's R for Data Science a try. He strongly recommended the book for both beginners, as well as intermediate R users looking to sharpen their skills.Unlike other books I had used previously, Wickham's explanations were concise, clear, and interesting. He teaches important fundamentals of the language, without overwhelming newcomers to R. Wickham's explanations are always accessible, even for those without programming experience.Hadley Wickham is practically a celebrity in the R community, and for good reason. He has developed many of the best packages in use. And unlike many experts, he is very conscious about teaching in a way that anyone can understand. Before you give up on learning R, I would definitely recommend giving this book a try.Note: The book is available for free on the author's website. However, I prefer to have a physical copy and have been pleased with the quality."
47,Codd ai tempi di RStudio,"Ho letto il libro dalla prima all'ultima parola.Quello che mi è piaciuto di più è il concetto di grammatica nella scienza dei dati: trovare quelle poche operazioni di base per eseguire tutto il resto. Questo è abbastanza vicino a quello che Edgar F. Codd ha fatto con l'algebra relazionale quasi 50 anni fa. Avrei voluto saperne di più su questo parallelismo.Nonostante il libro sia pensato per i nuovi arrivati, alcune parti sono piuttosto difficili (almeno per la mia esperienza). Sono rimasto incartato più di un giorno al capitolo 18. Questa parte è un po' troppo affrettata, in particolare perché i concetti di regressione lineare (e altri modelli) sono molto più profondi di quelli di filtrare un dataframe o di leggere un file dal disco. Inoltre, è un peccato che non esistono soluzioni per gli esercizi proposti.I capitoli che ho apprezzato di più sono 17 (Iteration with purr) e 20 (Many models with purr), dove viene magnificata tutta la potenza della combinazione di grammatiche e programmazione. L'esempio del gapminder è quasi poesia e di quella buona. Inoltre, il piccolo coniglietto Foo Foo raccontato con le pipes (capitolo 14) è un meraviglioso racconto.Tutto sommato mi è piaciuto questo libro e sono felice di usarlo per insegnare."
48,Very good!,"Book brings a lot of concepts and well written code. It also brings analysis of the results , helping you to improve your analysis skills. Good addition to my library"
49,This is a solid book and I am glad I purchased it,"This is a solid book and I am glad I purchased it. That said, the book is not for the novice. I think it's most useful to people who have had an exposure to R or at least programming. I am a novice to the programming world (although with good experience in statistics using stats applications like SPSS and some basic syntax writing experience),  and I found that while certain parts of the books were helpful,  others moved very fast and completely over my head, without the sufficient detail or an explanation that I could dig my teeth into. The exercises were not terribly helpful at cementing the knowledge either: many are far more complex than the chapter itself (and no answers that I could find in the book--although I found the answers online).  However, I don't know that there really are any solid guides written for the novice R user trying to learn data science, so this may still be the best of the bunch. In addition to reading this book, expect to be taking online courses on R and watching YouTube videos when you are stuck on a specific question."
50,Best way to learn data manipulation and creating graphs in R,"I think this is the best book to learn R for data science, it clearly teaches what it claims it will teach. In particular, it is a very strong book to learn how to manipulate data and create nice plots in R. The only place where I think it can improve is in relation to R Markdown, the treatment of that package is very shallow and it is even shallower in terms of some other packages such as shiny and web pages. Of course, now we have the book by Xie et al. 2019 R Markdown the definitive guide. If you do not know R and you are just learning a computer language then I recommend starting with Grolemund's book Hands-On Programming With R, then with this one."
51,Very basic,This book is mostly about ggplot2 and not the core language
52,Good practical book,"This book orders things differently than conventional R courses. It doesn't begin with introducing the basics, but with plotting graphs, which is what most beginners need R for. It is therefore good for people who need to get into the practical aspects of R quickly due to job demands. And in a way it puts off beginners less, because the basics are somewhat boring.However, it's a bit like learning conversation before learning grammar... Very quickly one realizes the importance of the basics. So I personally would combine this book with other conventional R courses to learn the language properly."
53,"Excellent book for explaining some of the underlying logic behind the tidyverse and gglplot, etc","I did a few online courses before reading this book, but that worked quite well as it meant to was revising some of what I knew while also learning a few new things per chapter"
54,Must-have for data scientists,"This book is an absolute must-have if you spend your days cleaning and analysing big datasets. I have had this book for a little over 4 months now and I use it almost every day as a part of my masters degree. I have found it is in a nice logical order and my data cleaning and analysis experience has flowed nicely by following the steps here.Sure, you could find the information in this book on Google, but that can be an overwhelming experience if you’re just starting out with data analysis and trying to learn tidyverse and other essential packages. This book is in a very understandable language for beginners and novice R users and beyond, and something to keep at hand at all times."
55,"Content OK, Book binding poor","I'm disappointed in the quality of the book binding.  The first day I opened this new book, a page fell out. The paperback book has a glued binding, but it's not holding the pages securely.  I want to start using R now and I don't want to wait to return the book.  I will think twice about buying an O'Reilly published book again.  I gave it 3 stars because the content looks good."
56,R for Data Science,"Mit ""R for Data Science"" besitzt man ein wirklich sehr anspruchsvolles Buch, welches sich detailliert mit den analytischen Konzepten der Programmiersprache R auseinandersetzt.Wichtig hier ist, dass das Buch gewissen Grundlagen voraussetzt, und es somit kein Einsteigerbuch ist. Das merkt man auch am Schreibstil des Buches.Das Buch selbst ist leider etwas klobig, hier ist die <b>kostenfreie</b> Online Version von Vorteil, da sie einen wirklich guten Überblick bietet und zudem auch noch ein Lösungsbuch hat.Der Aufbau selbst ist nicht einfach Kapitel zu Kapitel, sondern hier haben sich die Autoren was einfallen lassen und es wird anhand verschiedener Beispiele (zB. Datensatz Diamonds, NYC Flights) erklärt, wie man vorzugehen hat.Empfohlen für jeden, der bereits mit Programmiersprachen wie ua. Python (Pandas), MatLab oä. Erfahrungen gesammelt hat, und seinen Wissensstand im Bereich R nun erweitern möchte (natürlich in Bezug auf analytische Projekte)."
57,Masterpiece,"This book is about data exploration in R. It’s about importing data, tidying it, transforming it, visualizing it, modelling it (very small coverage) and communicating it.It’s the building block in Data Science to get your data in a way that you can visualize it, run statistical analytics or Machine Learning algorithms.In my view, there’s no competition in the Python world. Yes, there’s “Python for Data Analysis” or “Python Data Science Handbook” which are both written by super-smart people. But I feel like “R for Data Science” is much clearer written (and I love Pandas!)."
58,Good introduction and has useful tips,"This is a good introduction to R but new users should know that there is an emphasis on packages in the tidyverse. This has advantages in that some things like ggplot are much easier to use for graphing for a newbie than other approaches in R for graphing. The book has some examples and these are fun to work through but in some cases I found that I couldn't find some of the practice data sets referenced in the text. Still I think this is a useful text, there is a free online version of the book--did not know this when purchasing--so if you don't mind reading off a screen you can skip buying it and just use the free version."
59,Es la biblia de R; voy empezando pero esta muy completo … vale mucho la pena,R junto con Python son en mi opinión los 2 lenguajes que no deben faltar para aprender ciencias de datos . Voy comenzando a aprender R y el libro me está ayudando mucho . Lo recomiendo 100%
60,Some of the best R teaching available.,"I can only speak as a relative novice, but this is as fine a book as can be written on the subject for the novice, and I reckon that even intermediate level R users would profit from it. Wickham and Grolemund write with clarity, and instill not just the ""rules of the game,"" but also how to troubleshoot and think strategically about R coding for data science. While I prefer to read something for the first time on paper, the updated text is available online, and makes a remarkably efficient companion: I often copy code straight from the text and experiment with it in RStudio as I work my way through the book. Well written instructive texts of this type are rare and teach both the subject and ""learning how to learn"" the subject.I'm grateful to Wickham and Grolemund for crafting such a gem."
61,"How to Navigate the R Universe by Making Your Data ""Tidy""","This book is available in its latest version as a free online resource whether you buy this book or not. However if you are someone who likes to have an actual book in your hands then is the way to go. As you work through the examples you will find some errors where the R-code does not match the output presented. However, as this is a teaching book, you can look upon these small detective tasks as part of your learning process. If all else fails you can generally find the correct code in the updated online version. Make sure you write in the corrections as you find them to prevent frustration in the future.This book explains some of Hadley Wickham's initiatives to bring ""tidiness"" to the fairly chaotic universe which new R-coders must navigate."
62,The (current) best overview of the Tidyverse for data science,"The main reason you would buy this book is to get introduced to the ""tidy"" way of doing data science in R - in particular, learning about the many packages the Tidyverse has to offer for data visualization, processing, string manipulation, modeling, etc. You could probably do equally as well doing DataCamp courses on similar topics, so it's up to you to decide what's best for your learning style.Caveat: Not for beginners. Wickham assumes more comfort jumping into R than most programming newbies will have. Ideal if you have some experience with any programming language (not a lot, maybe just an intro class' worth) and have seen a little bit of R already."
